epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,8933.18,0.62101,0.38672,1.02863,0.97184,0.94722,0.93688,0.80645,0.65731,0.52554,1.09448,0.00571,0.00571,0.00571
132,9003.76,0.61363,0.37568,1.02633,0.97003,0.94826,0.93598,0.80613,0.65747,0.52551,1.0945,0.005677,0.005677,0.005677
133,9073.77,0.61461,0.36857,1.02635,0.97016,0.94911,0.93612,0.8067,0.65756,0.5266,1.09466,0.005644,0.005644,0.005644
134,9143.81,0.6185,0.37996,1.03002,0.96976,0.94945,0.93559,0.80607,0.65735,0.52561,1.09447,0.005611,0.005611,0.005611
135,9212.92,0.61788,0.38156,1.02828,0.96923,0.95016,0.93579,0.80675,0.65734,0.52523,1.0944,0.005578,0.005578,0.005578
136,9281.58,0.61816,0.38356,1.02858,0.96815,0.95018,0.93595,0.80669,0.65755,0.52481,1.09456,0.005545,0.005545,0.005545
137,9350,0.61193,0.37,1.02504,0.96798,0.95018,0.93564,0.80452,0.65755,0.52379,1.09458,0.005512,0.005512,0.005512
138,9418.3,0.61524,0.37835,1.02375,0.96791,0.95018,0.93573,0.80382,0.65767,0.52348,1.09491,0.005479,0.005479,0.005479
139,9486.44,0.61009,0.36716,1.02375,0.96883,0.94975,0.93534,0.80406,0.65803,0.52301,1.0952,0.005446,0.005446,0.005446
140,9554.62,0.60955,0.36846,1.02414,0.96928,0.95006,0.93413,0.80251,0.65819,0.52287,1.09539,0.005413,0.005413,0.005413
141,9622.64,0.60751,0.36828,1.02219,0.9694,0.95012,0.93421,0.80262,0.6583,0.52262,1.09539,0.00538,0.00538,0.00538
142,9690.68,0.61367,0.37523,1.02545,0.9695,0.94947,0.93409,0.80251,0.65828,0.52238,1.09545,0.005347,0.005347,0.005347
143,9758.76,0.6098,0.36359,1.0258,0.96944,0.9502,0.93447,0.80288,0.65835,0.52247,1.09566,0.005314,0.005314,0.005314
144,9826.6,0.6142,0.36688,1.02624,0.9692,0.9502,0.93484,0.80319,0.65883,0.52284,1.09616,0.005281,0.005281,0.005281
145,9894.64,0.6049,0.36757,1.02543,0.96683,0.95021,0.93471,0.80309,0.65882,0.52314,1.09629,0.005248,0.005248,0.005248
146,9962.73,0.60441,0.36321,1.02343,0.96817,0.9502,0.93499,0.80326,0.65888,0.5239,1.09645,0.005215,0.005215,0.005215
147,10030.9,0.60659,0.36073,1.02105,0.96944,0.95015,0.93475,0.803,0.65896,0.52451,1.09662,0.005182,0.005182,0.005182
148,10098.8,0.60205,0.36548,1.02295,0.9585,0.95013,0.93369,0.80277,0.65915,0.52452,1.09689,0.005149,0.005149,0.005149
149,10166.9,0.60381,0.35875,1.02311,0.95852,0.95013,0.93338,0.8029,0.65928,0.52453,1.09695,0.005116,0.005116,0.005116
150,10235.1,0.60385,0.36239,1.02382,0.95868,0.95012,0.93355,0.80293,0.65931,0.52577,1.09708,0.005083,0.005083,0.005083
151,10303.2,0.59986,0.35581,1.02169,0.97166,0.94253,0.93345,0.80316,0.65953,0.52482,1.09743,0.00505,0.00505,0.00505
152,10371.4,0.60151,0.35936,1.02186,0.97168,0.94222,0.93314,0.80221,0.65957,0.52509,1.0976,0.005017,0.005017,0.005017
153,10439.3,0.60101,0.35952,1.02114,0.97168,0.94221,0.93303,0.8008,0.65962,0.52515,1.09775,0.004984,0.004984,0.004984
154,10507.2,0.59706,0.35094,1.01821,0.97172,0.94219,0.93296,0.80037,0.65966,0.52468,1.09806,0.004951,0.004951,0.004951
155,10575.3,0.59697,0.35384,1.0188,0.97195,0.94216,0.93291,0.80022,0.65976,0.52457,1.09837,0.004918,0.004918,0.004918
156,10643.2,0.59564,0.35667,1.02004,0.97155,0.94212,0.93302,0.80021,0.65979,0.52499,1.09866,0.004885,0.004885,0.004885
157,10711.6,0.59442,0.3544,1.018,0.97189,0.94205,0.93274,0.80022,0.65976,0.52541,1.09885,0.004852,0.004852,0.004852
158,10779.8,0.59308,0.35111,1.01968,0.97185,0.94206,0.93305,0.80114,0.65953,0.52572,1.09886,0.004819,0.004819,0.004819
159,10847.7,0.59223,0.35697,1.01931,0.97177,0.94207,0.93238,0.80194,0.65955,0.52673,1.09918,0.004786,0.004786,0.004786
160,10915.7,0.59151,0.34845,1.01926,0.97207,0.94209,0.93222,0.80206,0.65949,0.52665,1.09934,0.004753,0.004753,0.004753
161,10983.7,0.59336,0.34796,1.01899,0.97231,0.94202,0.93239,0.80272,0.65944,0.52656,1.09946,0.00472,0.00472,0.00472
162,11051.7,0.5941,0.35028,1.01721,0.97238,0.94195,0.93269,0.80197,0.65928,0.52766,1.09941,0.004687,0.004687,0.004687
163,11119.6,0.58869,0.35084,1.01932,0.97216,0.94189,0.93273,0.80187,0.65952,0.52778,1.09974,0.004654,0.004654,0.004654
164,11187.6,0.59227,0.34726,1.01764,0.9515,0.95429,0.93054,0.80188,0.65971,0.52785,1.09993,0.004621,0.004621,0.004621
165,11255.7,0.58781,0.34967,1.01675,0.95164,0.95441,0.93074,0.8011,0.65965,0.52778,1.10018,0.004588,0.004588,0.004588
166,11323.7,0.58353,0.34513,1.01526,0.95165,0.95451,0.93064,0.8014,0.6597,0.52799,1.10022,0.004555,0.004555,0.004555
167,11391.9,0.58756,0.34648,1.01669,0.95167,0.95454,0.93097,0.80162,0.65972,0.5284,1.1002,0.004522,0.004522,0.004522
168,11459.9,0.58454,0.3412,1.01321,0.95174,0.95446,0.93097,0.8021,0.65987,0.5289,1.10041,0.004489,0.004489,0.004489
169,11527.9,0.58442,0.34564,1.01606,0.95198,0.9547,0.93123,0.80248,0.65988,0.52918,1.10057,0.004456,0.004456,0.004456
170,11596,0.5853,0.34336,1.01616,0.97251,0.94175,0.93279,0.80271,0.66003,0.52932,1.10073,0.004423,0.004423,0.004423
171,11663.8,0.58399,0.33874,1.01604,0.97246,0.94175,0.93301,0.80276,0.66022,0.52898,1.10097,0.00439,0.00439,0.00439
172,11731.7,0.58159,0.33622,1.01325,0.97262,0.94176,0.93306,0.80206,0.66023,0.52872,1.10113,0.004357,0.004357,0.004357
173,11799.5,0.58013,0.33795,1.01066,0.9727,0.94179,0.93288,0.8018,0.66029,0.52879,1.10137,0.004324,0.004324,0.004324
174,11867.5,0.58309,0.33933,1.01297,0.97267,0.94178,0.933,0.80236,0.66045,0.5286,1.1016,0.004291,0.004291,0.004291
175,11935.4,0.58219,0.345,1.01156,0.97267,0.94178,0.93299,0.80233,0.66054,0.52873,1.10168,0.004258,0.004258,0.004258
176,12003.5,0.57803,0.33352,1.01326,0.97264,0.94185,0.9329,0.80183,0.66078,0.52862,1.10196,0.004225,0.004225,0.004225
177,12071.5,0.58421,0.34046,1.01565,0.97265,0.94184,0.93291,0.80172,0.66084,0.52867,1.10215,0.004192,0.004192,0.004192
178,12139.5,0.57764,0.33368,1.00826,0.97264,0.94187,0.93321,0.80212,0.66082,0.52855,1.10227,0.004159,0.004159,0.004159
179,12207.6,0.57625,0.33303,1.01222,0.97288,0.94187,0.93314,0.80241,0.66094,0.5287,1.10248,0.004126,0.004126,0.004126
